RecordID,AerolineaCodigo,AerolineaNombre,NumeroVuelo,VueloNaturalKey,AeropuertoOrigenCodigo,AeropuertoDestinoCodigo,FechaHoraSalida,FechaHoraLlegada,DuracionMinutos,EstadoVueloCodigo,RetrasoMinutos,TipoAeronaveCodigo,ClaseCabinaCodigo,Asiento,PasajeroID,GeneroCodigo,EdadPasajero,NacionalidadCodigo,FechaHoraReserva,CanalVentaCodigo,MetodoPagoCodigo,PrecioBoleto,MonedaCodigo,PrecioUSD,EquipajeTotal,EquipajeFacturado,HashPasajero
1,FR,RYANAIR,FR5515,8c3c5abd1650298b7f94bade68e8f96d9e810e189d4d5af83fd6e045633f28f1,MEX,GUA,2024-01-20 10:14:00,2024-01-20 13:24:00,185,ON_TIME,0,B739,ECONOMY,37F,77e21f8e-6e79-4504-905f-636cea932c06,M,40,PE,2024-01-15 10:09:00,APP,EFECTIVO,77.6,USD,77.6,0,0,b08d641bfc5f2e867b2bd81c6fe358738601a6a80b66880431fe6dc2a6ea27d0
2,AV,AVIANCA,AV1170,4ae5f91e3cc24765daea2fe693e77bc52651ea1074bcdd0f9f1c6ebdaafb4d3a,SAP,JFK,2024-12-22 20:18:00,,,CANCELLED,,CRJ9,ECONOMY,,d44ad2a6-091a-49b9-841a-647f006c6f7b,M,42,CU,2024-10-03 08:42:00,APP,TARJETA,138.8,USD,138.8,1,0,4771eddb3bb11d8d49ac9cb766ed4fbd4563def03ffcb8594fa32ee0ccdd6074
3,IB,IBERIA,IB2267,c18c9ec6531b11f2f91e91e1ec0e873eb75dc851f9499c6c3e7ea332e7652cc6,PTY,BOG,2025-06-18 12:16:00,2025-06-18 17:50:00,330,ON_TIME,0,A320,PREMIUM_ECONOMY,11B,4662a840-f754-403a-9eab-887d5f56b6f7,F,30,PE,2025-05-14 10:03:00,AEROPUERTO,TRANSFERENCIA,101.3,USD,101.3,1,0,5f5c32ab303bd7c6f93620d277208b2983727851bbc1fb806ec2f15d5ff0eb7d
4,DL,DELTA,DL8318,de95b78cab9bfaedfdd46ada49b72acaf5cca952a12c5e0db26ffd49d87d4495,HAV,MIA,2025-06-12 13:05:00,2025-06-12 17:20:00,261,ON_TIME,0,A319,ECONOMY,30E,3c53aed2-156e-44e1-9181-9e84437171dc,X,54,GT,2025-03-15 13:58:00,AEROPUERTO,TRANSFERENCIA,106.55,GTQ,13.64,1,0,1ef9d45b1632882714004127d6de0789a4e91ffadb7d57eeeb0b18d90215c488
5,WN,SOUTHWEST,WN6538,8f7de8f848c5ca4c69fe8d958ef59c80eb9de3acbca02a48a591d7152c20f8ae,GUA,SAL,2025-10-04 05:08:00,2025-10-04 08:59:00,210,ON_TIME,0,B767,BUSINESS,10C,273782b1-130d-4e4b-a947-b75769bfaeb5,M,27,CR,2025-03-30 02:22:00,CALL_CENTER,TARJETA,216.66,EUR,236.16,1,0,e6c990813e302ad58485a3c9abbea9879e5ee8e8e0bb8b5d157e802d52b37ade
6,UA,UNITED,UA6940,5bb38d3bb9e32ec96fbf6a79e5728ce571eea1541f7d544f66b377bffeaa47ff,JFK,SAL,2024-02-19 17:31:00,2024-02-19 21:00:00,218,ON_TIME,0,A320,ECONOMY,23A,90b4a7b6-1f3f-4bf6-aeac-4d287d964c71,F,27,GT,2024-01-20 14:34:00,WEB,TRANSFERENCIA,69.2,USD,69.2,1,0,372a21a86688e869b7e5b9d41546a2dbc58c29c25ee597b427e9274f60002538
7,AA,AMERICAN AIRLINES,AA2698,dfe987c4ddd9eb126900ad91e7e9d449774b535e1dc8dd94d4e0805bf9ecbc9a,SAL,MEX,2024-11-08 17:24:00,2024-11-09 01:09:00,417,DELAYED,37,B738,ECONOMY,22E,6e91fd6c-62ce-4182-8944-dfee8c09fa8b,M,37,MX,2024-03-10 03:09:00,WEB,PAYPAL,41.69,MXN,2.42,2,1,dae46364c225a89d50cde4f86a2e21e766a1518df1bfea5f1687be286a865fc8
8,IB,IBERIA,IB9486,30d8636293bc36e303464e2c4b260494b7b6057b98433dddc03316ff07624cc7,MAD,PTY,2025-06-25 01:24:00,2025-06-25 08:48:00,419,ON_TIME,0,B757,ECONOMY,22C,5e00afce-4c97-45aa-9dd7-114ade2b6ba4,X,11,CR,2025-03-21 08:21:00,AGENCIA,TARJETA,66.9,USD,66.9,1,0,f83b7348ac463337fad7947d0fb24ef5e88e8d1a810eaca0fd86b9470d3946a9
9,AM,AEROMEXICO,AM0129,fdc18da27472ad6d16dbbe745134df5085709a3e91a3499f1d3e2fbc3a7902d4,JFK,PTY,2024-07-06 15:40:00,2024-07-06 22:17:00,387,ON_TIME,0,E190,ECONOMY,37F,5ec2a176-1021-4c12-b192-f5a26c27d7be,M,20,SV,2024-05-06 01:01:00,AEROPUERTO,TARJETA,90.92,USD,90.92,1,0,ac6f1111fcfd59a660556e6ebba881230e66ee9b787544633b56da3d29614e0a
10,IB,IBERIA,IB1233,65aa84f1d5207faf0130db4d50990d6c187a0b05a8c9a9a03570fb3b84baea5c,MEX,SAL,2025-11-22 01:26:00,2025-11-22 03:30:00,99,ON_TIME,0,A319,ECONOMY,22F,eba22d5a-5e7b-4dd9-b4f3-f9c0b5b359c5,M,22,CU,2025-03-08 16:54:00,CALL_CENTER,TRANSFERENCIA,49.68,MXN,2.88,2,1,4771eddb3bb11d8d49ac9cb766ed4fbd4563def03ffcb8594fa32ee0ccdd6074
